品牌型号|4G网络|主屏尺寸|CPU型号|CPU频率|电池容量|后置摄像头|操作系统|内存容量|价格
中兴Blade V10（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.3英寸  2280x1080像素|高通 骁龙855|4300mAh  不可拆卸式电池|1600万像素+500万像素|Android 9 Pie|8GB|256GB|概念产品
联想ZUK Z3 Max（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|高通 骁龙836|8GB|256GB|CMOS|LED补光灯|2018年|4G手机，3G手机，智能手机|概念产品
先锋K88L（移动4G）|移动TD-LTE，FDD-LTE（仅限国际漫游）|5.5英寸  1280x720像素|联发科 MT6592|1.7GHz  八核|2500mAh  不可拆卸式电池|1300万像素|Android 4.4|1GB|349
联想K10 note（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.6英寸|5800mAh|双1600万像素|6GB/8GB|64GB/128GB/256GB|1600万像素|LED补光灯|概念产品
云狐A8（联通3G）|6英寸  1920x1080像素|1.5GHz  四核|3200mAh  不可拆卸式电池|1300万像素|Android 4.2|2GB|16GB|双卡|4980
索尼H3113（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|高通 骁龙660|Android 8.0|CMOS|LED补光灯|2017年|4G手机，3G手机，智能手机|电容屏，多点触控|概念产品
国美U7（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  2160x1080像素|联发科 Helio P25|2.35GHz  八核|3050mAh|1300万像素|GOME OS 2.0|6GB|1699
索尼Xperia XA3 Ultra（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  2560x1440像素|高通 骁龙636|3800mAh  不可拆卸式电池|1900万像素|6GB|128GB|1300万像素|概念产品
三星GALAXY J7+（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|三星 Exynos 7870|2.39GHz  八核|3000mAh  不可拆卸式电池|1300万像素+500万像素|Android 7.1|4GB|即将上市
华为Mate S2（移动4G）|移动TD-LTE|5.5英寸|海思 kirin 960|3500mAh|1600万像素|4GB|800万像素|CMOS|概念产品
汇威V8（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙652（MSM8976）|3400mAh  不可拆卸式电池|1600万像素|4GB|128GB|双卡|1499
HTC U Play（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1920x1080像素|联发科 Helio P10|2.0GHz（大四核），1.1GHz（小四核）  八核|2500mAh|1600万像素|Android 7.0|3GB/4GB|1288
诺基亚3.2（2GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.2英寸  720x1520像素|高通 骁龙429|1.8GHz|4000mAh  不可拆卸式电池|1300万像素|Android 9.0|2GB|即将上市
AGM A1Q（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|高通 骁龙|1.2GHz  四核|4050mAh  可拆卸式电池|1300万像素|3GB|32GB|1499
夏普A1（FS8002/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|联发科 Helio X20|2.3GHz  十核|3000mAh  不可拆卸式电池|1600万像素|Android 6.0|4GB|1299
海信E20-T（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|1.5GHz（大四核），1.2GHz（小四核）  八核|2320mAh  不可拆卸式电池|1300万像素|Android|2GB|16GB|349
中兴Blade A2 Plus（高配版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|联发科 MT6750T|1.5GHz  八核|5000mAh  不可拆卸式电池|1300万像素|Mifavor 3.5（基于Android 6.0）|4GB|949
青葱metal（标准版/双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5.5英寸  1920x1080像素|3050mAh  不可拆卸式电池|1300万像素|Cong OS（基于Android 5.1）|3GB|16GB/32GB|双卡，Nano SIM卡|799
夏普Android One S3（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  2160x1080像素|高通 骁龙430|2700mAh  不可拆卸式电池|1300万像素|Android 8.0 Oreo|3GB|32GB|即将上市
Moto G5（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1920x1080像素|高通 骁龙430（MSM8937）|1.4GHz|2800mAh  可拆卸式电池|1300万像素|Android 7.0|2GB|即将上市
美图T9樱桃小丸子限量版（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.01英寸  2160x1080像素|高通 骁龙660|2.2GHz  八核|3100mAh  不可拆卸式电池|1200万像素+500万像素|MEIOS4.3（基于Android 8.1）|4GB|2999
小辣椒红辣椒国民猴赛雷（移动4G）|移动TD-LTE|5英寸  1280x720像素|展讯 SC9830|1.5GHz  四核|2000mAh|500万像素|1GB|8GB|339
美图V4（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5英寸  1920x1080像素|联发科 Helio X10（MT6795）|2.0GHz  八核|2650mAh  不可拆卸式电池|2100万像素|MEI OS 2.5（基于Android 5.1）|3GB|3700
酷派锋尚Pro2（Y891/双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5.5英寸  1280x720像素|高通 骁龙415（MSM8929）|1.4GHz  八核|2500mAh  不可拆卸式电池|1300万像素|CoolUI 8.0青春版（基于Android 5.1）|3GB|539
荣耀畅玩6X（3GB RAM/移动4G）|移动TD-LTE|5.5英寸  1920x1080像素|海思 Kirin 655|2.1GHz（大四核），1.7GHz（小四核）  八核|3340mAh  不可拆卸式电池|1200万像素+200万像素|EMUI 4.1（基于Android 6.0）|3GB|930
朵唯V18（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5英寸  1280x720像素|展讯 SC9832A|1.3GHz  四核|2000mAh|500万像素|YunOS 3.2|2GB|707
小米8（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.21英寸  2248x1080像素|高通 骁龙845|2.8GHz  八核|3400mAh  不可拆卸式电池|1200万像素广角镜头+1200万像素长焦镜头|MIUI 9（基于Android 8.1）|4GB|概念产品
LG K10（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5.3英寸  1280x720像素|1.14GHz  八核|2300mAh|1300万像素|Android 5.1|2GB/1.5GB/1GB|16GB/8GB|1200
小辣椒4G mini（移动4G）|移动TD-LTE|4.5英寸  854x480像素|联发科 MT6582M|1.3GHz  四核|1800mAh|800万像素|Android 4.4|1GB|900
Moto Z4 Play（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  2160x1080像素|高通 骁龙835|3000mAh  不可拆卸式电池|1200万像素+500万像素|Android 8.1|4GB|64GB|概念产品
MANN ZUG 3S（标准版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|4英寸  800x480像素|高通 骁龙210（MSM8909）|1.1GHz  四核|2930mAh  可拆卸式电池|800万像素|Android 6.0|1GB|699
海信金刚II（尊享版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|高通 骁龙415（MSM8929）|1.36GHz（大四核），1.0GHz（小四核）  八核|3200mAh  不可拆卸式电池|1300万像素|Android 5.1|3GB|1049
海信小海豚Plus（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1280x720像素|高通 骁龙425（MSM8917）|3000mAh  不可拆卸式电池|1300万像素|Android|3GB|32GB|799
纽曼M560（移动/联通2G）|2.4英寸  320x240像素|2080mAh  可拆卸式电池|30万像素|128MB|双卡|联通2G/移动2G（GSM）|直板|T9传统键盘|109
夏普Aquos S3（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  2160x1080像素|高通 骁龙630|2.2GHz  八核|3200mAh  不可拆卸式电池|1300万像素+1200万像素|Android 8.0|4GB|即将上市
诺基亚全新N95（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|双2100万像素|CMOS|LED补光灯|2018年|4G手机，3G手机，智能手机|移动3G（TD-SCDMA），联通3G（WCDMA），电信3G（CDMA2000），联通2G/移动2G（GSM），电信2G（CDMA）|直板|概念产品
夏普FS8018（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.48英寸  2048x1080像素|2.2GHz  八核|2930mAh  不可拆卸式电池|2000万像素|Android 7.1|4GB|64GB|概念产品
黑莓KeyOne 2（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|CMOS|LED补光灯|2018年|4G手机，3G手机，智能手机|电容屏，多点触控|移动3G（TD-SCDMA），联通3G（WCDMA），电信3G（CDMA2000），联通2G/移动2G（GSM），电信2G（CDMA）|GPS导航|概念产品
蓝魔R9（尊享版/双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5.2英寸  1920x1080像素|联发科 MT6753|2300mAh  不可拆卸式电池|1300万像素|Android 5.1|3GB|32GB|899
美图T9颐和园限量版（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.01英寸  2160x1080像素|高通 骁龙660|2.2GHz  八核|3100mAh  不可拆卸式电池|1200万像素+500万像素|MEIOS4.3（基于Android 8.1）|4GB|即将上市
酷派锋尚MAX（A8-831/移动4G）|移动TD-LTE，FDD-LTE（仅限国际漫游）|5.5英寸  1920x1080像素|高通 骁龙615（MSM8939）|1.5GHz  八核|2800mAh  不可拆卸式电池|1300万像素|CoolUI 8.0（基于Android 5.1）|3GB|700
荣耀X3（移动4G）|移动TD-LTE|6.2英寸  2560x1600像素|海思 Kirin 950|2000万像素|Android 6.0|4GB|64GB|800万像素|概念产品
酷比S506M（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1440x720像素|1.5GHz|2200mAh  不可拆卸式电池|800万像素|dido OS 7.6（基于Android 6.0）|2GB/3GB|16GB/32GB|概念产品
天语8848（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.72英寸  2160x1080像素|联发科 MT6737|1.3GHz  四核|2650mAh  不可拆卸式电池|双1300万像素|Android 6.0|3GB|669
SUGAR SOAP R11（高配版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  1440x720像素|高通 骁龙|3000mAh  不可拆卸式电池|1300万像素|Android 7.1|4GB|64GB|888
ivvi F1（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|高通 骁龙212（MSM8909）|1.0GHz  八核|2000mAh  不可拆卸式电池|500万像素|YunOS|1GB|399
ivvi i3 Play（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙430（MSM8937）|1.4GHz  八核|3000mAh  不可拆卸式电池|1600万像素|Android 6.0|4GB|1999
vivo 1805（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|高通 骁龙845|Funtouch OS（基于Android 8.1）|8GB|双卡，Nano SIM卡|CMOS|LED补光灯|2018年|概念产品
小米Max（高配版/全网通/3GB RAM）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.44英寸  1920x1080像素|高通 骁龙652（MSM8976）|1.8GHz  八核|4850mAh  不可拆卸式电池|1600万像素|MIUI 8|3GB|1450
YotaPhone YOTA3（墨知版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙625（MSM8953）|2.0GHz  八核|3300mAh  不可拆卸式电池|1200万像素|Journey UI（基于Android 7.1）|4GB|3699
联想黄金斗士A8（A3580/畅玩高配版/电信4G）|电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|联发科 MT6735P|1.0GHz|2300mAh  可拆卸式电池|800万像素|Android 5.1|1GB|348
联想ZUK Edge（旗舰版/4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙821（MSM8996 Pro）|2.35GHz  四核|3100mAh  不可拆卸式电池|1300万像素|ZUI|4GB|2099
酷派锋尚Pro（T2-W01/双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5.5英寸  1280x720像素|高通 骁龙615（MSM8939）|1.5GHz  八核|2500mAh  不可拆卸式电池|1300万像素|Android 4.4|2GB|500
uphone U5+|3.5英寸  960x640像素|联发科 MT6572|1.2GHz|2200mAh|500万像素|Android 4.2|512MB|4GB|598
索尼Xperia XA2 Plus（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  2160x1080像素|高通 骁龙630|3540mAh|2300万像素|4GB|64GB|800万像素|概念产品
青橙C3（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5英寸  1280x720像素|联发科 MT6735P|1.1GHz  四核|2200mAh  可拆卸式电池|500万像素|1GB|8GB|499
长虹S10（移动4G）|移动TD-LTE|5英寸  1280x720像素|联发科 MTK6737|500万像素|YunOS|1GB|16GB|双卡|398
联想乐檬K5 Note（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|联发科 Helio P10|1.8GHz  八核|3500mAh  不可拆卸式电池|1300万像素|Android 5.1|3GB|929
金立A1（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|联发科 Helio P10|4010mAh|1600万像素|Android 7.0|4GB|64GB|即将上市
诺基亚新版7610（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|CMOS|LED补光灯|2018年|4G手机，3G手机，智能手机|移动3G（TD-SCDMA），联通3G（WCDMA），电信3G（CDMA2000），联通2G/移动2G（GSM），电信2G（CDMA）|GPS导航|直板|概念产品
美图T9 F4限量版（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.01英寸  2160x1080像素|高通 骁龙660|2.2GHz  八核|3100mAh  不可拆卸式电池|1200万像素+500万像素|MEIOS4.3（基于Android 8.1）|4GB|4099
中兴AXON MAX（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  1920x1080像素|高通 骁龙617（MSM8952）|1.5GHz  八核|4140mAh  不可拆卸式电池|1600万像素|Mifavor 3.5（基于Android 5.1）|3GB|939
联想ZUK 新国民旗舰|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|CMOS|LED补光灯|2018年|4G手机，3G手机，智能手机|电容屏，多点触控|移动3G（TD-SCDMA），联通3G（WCDMA），电信3G（CDMA2000），联通2G/移动2G（GSM）|GPS导航|概念产品
飞利浦X818（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|联发科 Helio P10|3900mAh|1600万像素|Android 6.0|3GB|32GB|899
neken EN3（移动/联通2G）|2.4英寸  320x240像素|4000mAh  可拆卸式电池|30万像素|32MB|32MB|双卡，SIM卡|MicroSD卡|2016年05月|99
Moto P30（移动全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.2英寸  2246x1080像素|高通 骁龙636|1.8GHz  八核|3000mAh  不可拆卸式电池|1600万像素+500万像素|ZUI 4.0（基于Android 8.1）|6GB|2099
海尔I506（2GB RAM/双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5英寸  1280x720像素|联发科 MT6737|1.3GHz  四核|2000mAh  不可拆卸式电池|500万像素|Android|2GB|399
诺基亚TA-1017（移动4G）|移动TD-LTE|CMOS|LED补光灯|2017年|4G手机，3G手机，老人手机|移动3G（TD-SCDMA），联通2G/移动2G（GSM）|直板|触控按键|概念产品
纽曼P10（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1280x640像素|联发科 MT6737T|1.8GHz  八核|5300mAh  不可拆卸式电池|1300万像素|3GB|32GB|799
ivvi F2C（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|联发科 MT6737|2000mAh  可拆卸式电池|800万像素|ivvi UI（基于Android 7.0）|3GB|32GB|799
联想A3910（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  854x480像素|1.1GHz  四核|2300mAh  可拆卸式电池|500万像素|1GB|8GB|双卡，Micro SIM卡|559
海信f20t （电信4G）|电信TD-LTE，电信FDD-LTE|5.5英寸  1280x720像素|2500mAh  可拆卸式电池|800万像素|1GB|8GB|双卡，SIM卡|30万像素|369
美图T9哆啦A梦限量版（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.01英寸  2160x1080像素|高通 骁龙660|2.2GHz  八核|3100mAh  不可拆卸式电池|1200万像素+500万像素|MEIOS4.3（基于Android 8.1）|4GB|2799
新石器NEOLIX X7（行业版/双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5英寸  1280x720像素|高通 骁龙410（MSM8916）|1.2GHz  四核|4660mAh  不可拆卸式电池|800万像素|Android 4.4|1GB|2499
HTC One A9（3GB RAM/双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5英寸  1920x1080像素|高通 骁龙617（MSM8952）|1.5GHz（大四核），1.2GHz（小四核）  八核|2150mAh  不可拆卸式电池|1300万像素|HTC Sense（基于Android 6.0）|3GB|1248
LG K8（联通4G）|联通TD-LTE，联通FDD-LTE|5英寸  1280x720像素|联发科 MT6753|1.3GHz  四核|2045mAh  可拆卸式电池|800万像素|Android 6.0|1.5GB|1045
酷派8722V（高配版/移动4G）|移动TD-LTE|5英寸  1280x720像素|联发科 MT6735P|1.0GHz|2000mAh  不可拆卸式电池|800万像素|Android 5.1|2GB|299
云狐A7（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5.5英寸  1920x1080像素|2.2GHz  八核|3500mAh  不可拆卸式电池|1600万像素|Android 4.4|2GB|16GB|5480
manta 7X（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙801（MSM8974AC）|2.5GHz  四核|4200mAh  不可拆卸式电池|1300万像素|MO7 OS（基于Android 4.4）|2GB|4080
酷派7722（标准版/双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5英寸  1280x720像素|2000mAh  不可拆卸式电池|800万像素|1GB|8GB|双卡，Micro SIM卡|200万像素|318
索尼Xperia Z5 Compact（移动4G）|移动TD-LTE|4.6英寸  1280x720像素|高通 骁龙810（MSM8994）|2.0GHz（大四核），1.5GHz（小四核）  八核|2700mAh  不可拆卸式电池|2300万像素|Android 5.1|2GB|2499
小米S1（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|高通 骁龙|CMOS|LED补光灯|2018年|4G手机，3G手机，智能手机|电容屏，多点触控|移动3G（TD-SCDMA），联通3G（WCDMA），电信3G（CDMA2000），联通2G/移动2G（GSM）|概念产品
黑莓KEY2 Lite（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|高通 骁龙660|6GB|CMOS|LED补光灯|2018年|4G手机，3G手机，智能手机|电容屏，多点触控|概念产品
三星GALAXY J7 Duo（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸|三星 Exynos 7870|1.6GHz  八核|3000mAh  可拆卸式电池|1300万像素+500万像素|Android 8.0|4GB|概念产品
小米Note 2（全球版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  1920x1080像素|高通 骁龙821（MSM8996 Pro）|2.35GHz|4070mAh  不可拆卸式电池|2256万像素|MIUI 8（基于Android 6.0）|6GB|3029
KRETA one（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1920x1080像素|高通 骁龙835（MSM8998）|3300mAh  不可拆卸式电池|1600万像素+1300万像素|Android 7.0（双系统）|6GB|128GB|1.4万
纽曼W2018（移动/联通2G）|3.5英寸  320x480像素|266MHz  单核|2500mAh  可拆卸式电池|200万像素|32MB|128MB|双卡|2015年12月|269
飞利浦E163K（移动/联通2G）|1.77英寸  320x240像素|1050mAh  可拆卸式电池|30万像素|32MB|32MB|双卡，SIM卡|MicroSD卡|TFT材质|139
纽曼D618（移动/联通2G）|2.4英寸  320x240像素|1800mAh  可拆卸式电池|30万像素|32MB|双卡|2015年09月|老人手机|联通2G/移动2G（GSM）|75
ivvi V1M（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1280x720像素|联发科 MT6735P|1.0GHz|2500mAh|800万像素|YunOS 5.1|1GB|599
COMIO A8（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5英寸  1280x720像素|联发科 MT6737|1.25GHz  四核|2500mAh|800万像素|Android 6.0|2GB|899
